Note,Frequency,Wavelength,Number
C0,16.35,2109.89,12
C#0,17.32,1991.47,13
D0,18.35,1879.69,14
D#0,19.45,1774.2,15
E0,20.6,1674.62,16
F0,21.83,1580.63,17
F#0,23.12,1491.91,18
G0,24.5,1408.18,19
G#0,25.96,1329.14,20
A0,27.5,1254.55,21
A#0,29.14,1184.13,22
B0,30.87,1117.67,23
C1,32.7,1054.94,24
C#1,34.65,995.73,25
D1,36.71,939.85,26
D#1,38.89,887.1,27
E1,41.2,837.31,28
F1,43.65,790.31,29
F#1,46.25,745.96,30
G1,49,704.09,31
G#1,51.91,664.57,32
A1,55,627.27,33
A#1,58.27,592.07,34
B1,61.74,558.84,35
C2,65.41,527.47,36
C#2,69.3,497.87,37
D2,73.42,469.92,38
D#2,77.78,443.55,39
E2,82.41,418.65,40
F2,87.31,395.16,41
F#2,92.5,372.98,42
G2,98,352.04,43
G#2,103.83,332.29,44
A2,110,313.64,45
A#2,116.54,296.03,46
B2,123.47,279.42,47
C3,130.81,263.74,48
C#3,138.59,248.93,49
D3,146.83,234.96,50
D#3,155.56,221.77,51
E3,164.81,209.33,52
F3,174.61,197.58,53
F#3,185,186.49,54
G3,196,176.02,55
G#3,207.65,166.14,56
A3,220,156.82,57
A#3,233.08,148.02,58
B3,246.94,139.71,59
C4,261.63,131.87,60
C#4,277.18,124.47,61
D4,293.66,117.48,62
D#4,311.13,110.89,63
E4,329.63,104.66,64
F4,349.23,98.79,65
F#4,369.99,93.24,66
G4,392,88.01,67
G#4,415.3,83.07,68
A4,440,78.41,69
A#4,466.16,74.01,70
B4,493.88,69.85,71
C5,523.25,65.93,72
C#5,554.37,62.23,73
D5,587.33,58.74,74
D#5,622.25,55.44,75
E5,659.25,52.33,76
F5,698.46,49.39,77
F#5,739.99,46.62,78
G5,783.99,44.01,79
G#5,830.61,41.54,80
A5,880,39.2,81
A#5,932.33,37,82
B5,987.77,34.93,83
C6,1046.5,32.97,84
C#6,1108.73,31.12,85
D6,1174.66,29.37,86
D#6,1244.51,27.72,87
E6,1318.51,26.17,88
F6,1396.91,24.7,89
F#6,1479.98,23.31,90
G6,1567.98,22,91
G#6,1661.22,20.77,92
A6,1760,19.6,93
A#6,1864.66,18.5,94
B6,1975.53,17.46,95
C7,2093,16.48,96
C#7,2217.46,15.56,97
D7,2349.32,14.69,98
D#7,2489.02,13.86,99
E7,2637.02,13.08,100
F7,2793.83,12.35,101
F#7,2959.96,11.66,102
G7,3135.96,11,103
G#7,3322.44,10.38,104
A7,3520,9.8,105
A#7,3729.31,9.25,106
B7,3951.07,8.73,107
C8,4186.01,8.24,108
C#8,4434.92,7.78,109
D8,4698.63,7.34,110
D#8,4978.03,6.93,111
E8,5274.04,6.54,112
F8,5587.65,6.17,113
F#8,5919.91,5.83,114
G8,6271.93,5.5,115
G#8,6644.88,5.19,116
A8,7040,4.9,117
A#8,7458.62,4.63,118
B8,7902.13,4.37,119
